tom,laura,lisa,mary,jack,marc,alex
11613.51,0.0,0.0,0.0,15401.39,21157.5,0.0
2607.04,0.0,0.0,0.0,0.93,0.0,0.0
2516.66,4140.0,0.0,0.0,0.07,308955.07,0.0
6478.36,9579.9,0.0,0.0,0.01,0.0,0.0
4974.999999996,9594.68,0.0,0.0,0.0,21157.5,0.0
7535.1,4692.74,0.0,0.0,0.0,285106.11,0.0
7706.580000004,6577.23,0.0,0.0,0.0,46227.38,0.0
4529.56,0.0,0.0,0.0,0.0,0.0,0.0
9135.46,0.0,0.0,0.0,0.01,0.0,0.0
8504.45999996,0.0,0.0,0.0,0.01,0.0,0.0
4990.14,0.0,0.0,7901.19,0.0,0.0,0.0
6820.6,0.0,0.0,5223.64,0.0,0.0,0.0
8077.0,0.0,0.0,11877.36,0.0,0.0,0.0
2546.74,0.0,0.0,0.0,0.0,0.0,0.0
3905.42,0.0,0.0,0.0,0.0,0.0,0.0
4705.74,0.0,0.0,0.0,0.0,0.0,0.0
833.13,0.0,0.0,0.0,0.0,0.0,0.0
274.22,0.0,0.0,0.0,0.0,0.0,0.0
2819.17,800.0,0.0,0.0,0.0,0.0,0.0
4570.1,2199.99,0.0,0.0,0.0,0.0,0.0
6610.190000001,6599.06,0.0,0.0,0.0,0.0,0.0
4295.92,2986.04,0.0,0.0,0.0,0.0,0.0
2204.08,0.0,0.0,0.0,0.0,0.0,0.0
2968.39,0.0,0.0,0.0,0.0,0.0,0.0
3425.37,0.0,0.0,0.0,0.0,0.0,0.0
1858.95,0.0,0.0,0.0,0.0,0.0,0.0
4247.29,2000.0,0.0,0.0,0.0,0.0,0.0
500.0,0.0,0.0,0.0,0.0,0.0,0.0
500.0,0.0,0.0,0.0,0.0,0.0,0.0
250.0,0.0,0.0,0.0,0.0,0.0,0.0
500.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
373.98,0.0,0.0,0.0,0.0,0.0,0.0
1126.02,0.0,0.0,0.0,0.0,0.0,0.0
500.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2663.100000015,0.0,0.0,0.0,0.0,0.0,0.0
1836.900000067,0.0,0.0,0.0,0.0,0.0,0.0
1500.000000004,0.0,0.0,0.0,0.0,0.0,0.0
500.0,0.0,0.0,0.0,0.0,0.0,0.0
1558.92,0.0,0.0,0.0,0.0,0.0,0.0
1441.08,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
6290.322580645,2580.64516129,0.0,0.0,0.0,0.0,0.0
8806.451612903,3612.903225806,0.0,0.0,0.0,0.0,0.0
8806.451612903,29987.903225806,0.0,0.0,0.0,0.0,0.0
8806.451612903,40537.903225806,0.0,0.0,0.0,0.0,0.0
8956.989247312,25147.311827957,0.0,0.0,0.0,568583.81,0.0
9333.333333333,5133.333333333,0.0,0.0,0.0,0.0,34294.0
9333.333333333,5133.333333333,0.0,0.0,0.0,0.0,0.0
9333.333333333,5133.333333333,0.0,0.0,0.0,314992.64,0.0
15479.674796748,5133.333333333,0.0,0.0,0.0,0.0,0.0
7170.731707317,0.0,0.0,0.0,0.0,404886.09,0.0
7170.731707317,0.0,0.0,0.0,0.0,0.0,47775.0
7170.731707317,0.0,0.0,0.0,0.0,0.0,0.0
7170.731707317,0.0,0.0,0.0,0.0,0.0,0.0
7170.731707317,0.0,0.0,0.0,0.0,130060.82,0.0
0.0,0.0,0.0,0.0,0.0,147822.03,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
6000.0,3200.0,0.0,0.0,0.0,0.0,0.0
7000.0,3733.333333333,0.0,0.0,0.0,0.0,0.0
2000.0,1066.666666667,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654.9,0.0,0.0,0.0,0.0,0.0,0.0
1843.96,0.0,0.0,0.0,0.0,0.0,0.0
1852.95,0.0,0.0,0.0,0.0,0.0,0.0
133.11,0.0,0.0,0.0,0.0,0.0,0.0
22424.540003,0.0,0.0,0.0,10832.602562,0.0,0.0
51432.35,0.0,0.0,0.0,30285.536239,0.0,0.0
50417.719999,0.0,0.0,0.0,38648.378712,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
25095.76,18869.565217391,0.0,44434.782608696,0.0,739696.0,0.0
39349.109998,18869.565217391,0.0,44434.782608696,0.0,0.0,0.0
57194.23,18869.565217391,0.0,44434.782608696,0.0,0.0,0.0
18719.190003,5391.304347826,0.0,12695.652173913,0.0,0.0,27768.0
876.54,0.0,0.0,0.0,0.0,209831.0,0.0
12119.999999,6600.0,0.0,19200.0,0.0,50000.0,0.0
20202.560002,6600.0,0.0,19200.0,5081.32,222411.0,0.0
21347.28,6600.0,0.0,19200.0,5347.14,367091.0,0.0
21790.690005,6600.0,0.0,19200.0,4885.61,0.0,0.0
21641.53,6600.0,0.0,19200.0,4685.71,0.0,0.0
396.06,0.0,0.0,0.0,0.0,0.0,81378.0
1984.41,0.0,0.0,0.0,0.0,65134.0,0.0
1483.53,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
632.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
5689.999999,0.0,0.0,0.0,0.0,0.0,0.0
11554.860002,0.0,0.0,0.0,0.0,0.0,0.0
14171.019999,0.0,0.0,0.0,0.0,0.0,0.0
17484.110001,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
3916.77,0.0,0.0,0.0,0.0,0.0,0.0
1369.859999,0.0,0.0,0.0,0.0,0.0,0.0
1215.9,0.0,0.0,0.0,0.0,0.0,0.0
1304.36,0.0,0.0,0.0,0.0,0.0,0.0
1663.26,0.0,0.0,0.0,0.0,0.0,0.0
1116.35,0.0,0.0,0.0,0.0,0.0,0.0
13668.610015,18960.2,0.0,2994.002193,8752.635399,0.0,0.0
32835.200006,22120.233333333,48684.0,12664.059604,25664.904939,56840.0,0.0
33023.130001,22120.233333333,56264.0,3696.74229,25682.322783,0.0,46000.0
55056.270013,22120.233333333,71007.0,6130.233216,45665.3359,528629.0,85497.0
30276.36001,9480.1,34097.0,6182.567903,46396.10017776,0.0,115343.0
