YEAR_WEEK,BRAND,DISTRIBUTION,DISTRIBUTION_REF
201827,fast_duck,0.010101010101010102,99.0
201828,fast_duck,0.010101010101010102,99.0
201829,fast_duck,0.010101010101010102,99.0
201830,fast_duck,0.010101010101010102,99.0
201831,fast_duck,0.010101010101010102,99.0
201832,fast_duck,0.010101010101010102,99.0
201833,fast_duck,0.010101010101010102,99.0
201834,fast_duck,0.010101010101010102,99.0
201835,fast_duck,0.010101010101010102,99.0
201836,fast_duck,0.010101010101010102,99.0
201837,fast_duck,0.010101010101010102,99.0
201838,fast_duck,0.010101010101010102,99.0
201839,fast_duck,0.010101010101010102,99.0
201840,fast_duck,0.010101010101010102,99.0
201841,fast_duck,0.010101010101010102,99.0
201842,fast_duck,0.010101010101010102,99.0
201843,fast_duck,0.010101010101010102,99.0
201844,fast_duck,0.010101010101010102,99.0
201845,fast_duck,0.010101010101010102,99.0
201846,fast_duck,0.010101010101010102,99.0
201847,fast_duck,0.010101010101010102,99.0
201848,fast_duck,0.010101010101010102,99.0
201849,fast_duck,0.010101010101010102,99.0
201850,fast_duck,0.010101010101010102,99.0
201851,fast_duck,0.010101010101010102,99.0
201852,fast_duck,0.010101010101010102,99.0
201901,fast_duck,0.010101010101010102,99.0
201902,fast_duck,0.010101010101010102,99.0
201903,fast_duck,0.010101010101010102,99.0
201904,fast_duck,0.010101010101010102,99.0
201905,fast_duck,0.010101010101010102,99.0
201906,fast_duck,0.010101010101010102,99.0
201907,fast_duck,0.010101010101010102,99.0
201908,fast_duck,0.010101010101010102,99.0
201909,fast_duck,0.010101010101010102,99.0
201910,fast_duck,0.010101010101010102,99.0
201911,fast_duck,0.010101010101010102,99.0
201912,fast_duck,0.0,99.0
201913,fast_duck,0.010101010101010102,99.0
201914,fast_duck,0.010101010101010102,99.0
201915,fast_duck,0.010101010101010102,99.0
201916,fast_duck,0.010101010101010102,99.0
201917,fast_duck,0.010101010101010102,99.0
201918,fast_duck,0.010101010101010102,99.0
201919,fast_duck,0.010101010101010102,99.0
201920,fast_duck,0.010101010101010102,99.0
201921,fast_duck,0.010101010101010102,99.0
201922,fast_duck,0.010101010101010102,99.0
201923,fast_duck,0.010101010101010102,99.0
201924,fast_duck,0.010101010101010102,99.0
201925,fast_duck,0.010101010101010102,99.0
201926,fast_duck,0.010101010101010102,99.0
201927,fast_duck,0.010101010101010102,99.0
201928,fast_duck,0.010101010101010102,99.0
201929,fast_duck,0.010101010101010102,99.0
201930,fast_duck,0.010101010101010102,99.0
201931,fast_duck,0.010101010101010102,99.0
201932,fast_duck,0.010101010101010102,99.0
201933,fast_duck,0.010101010101010102,99.0
201934,fast_duck,0.010101010101010102,99.0
201935,fast_duck,0.010101010101010102,99.0
201936,fast_duck,0.010101010101010102,99.0
201937,fast_duck,0.010101010101010102,99.0
201938,fast_duck,0.010101010101010102,99.0
201939,fast_duck,0.010101010101010102,99.0
201940,fast_duck,0.010101010101010102,99.0
201941,fast_duck,0.010101010101010102,99.0
201942,fast_duck,0.010101010101010102,99.0
201943,fast_duck,0.010101010101010102,99.0
201944,fast_duck,0.010101010101010102,99.0
201945,fast_duck,0.010101010101010102,99.0
201946,fast_duck,0.010101010101010102,99.0
201947,fast_duck,0.010101010101010102,99.0
201948,fast_duck,0.010101010101010102,99.0
201949,fast_duck,0.010101010101010102,99.0
201950,fast_duck,0.010101010101010102,99.0
201951,fast_duck,0.010101010101010102,99.0
201952,fast_duck,0.010101010101010102,99.0
202001,fast_duck,0.010101010101010102,99.0
202002,fast_duck,0.010101010101010102,99.0
202003,fast_duck,0.010101010101010102,99.0
202004,fast_duck,0.010101010101010102,99.0
202005,fast_duck,0.010101010101010102,99.0
202006,fast_duck,0.010101010101010102,99.0
202007,fast_duck,0.010101010101010102,99.0
202008,fast_duck,0.010101010101010102,99.0
202009,fast_duck,0.010101010101010102,99.0
202010,fast_duck,0.010101010101010102,99.0
202011,fast_duck,0.010101010101010102,99.0
202012,fast_duck,0.010101010101010102,99.0
202013,fast_duck,0.010101010101010102,99.0
202014,fast_duck,0.010101010101010102,99.0
202015,fast_duck,0.010101010101010102,99.0
202016,fast_duck,0.010101010101010102,99.0
202017,fast_duck,0.010101010101010102,99.0
202018,fast_duck,0.010101010101010102,99.0
202019,fast_duck,0.010101010101010102,99.0
202020,fast_duck,0.010101010101010102,99.0
202021,fast_duck,0.010101010101010102,99.0
202022,fast_duck,0.010101010101010102,99.0
202023,fast_duck,0.010101010101010102,99.0
202024,fast_duck,0.010101010101010102,99.0
202025,fast_duck,0.010101010101010102,99.0
202026,fast_duck,0.010101010101010102,99.0
202027,fast_duck,0.010101010101010102,99.0
202028,fast_duck,0.010101010101010102,99.0
202029,fast_duck,0.010101010101010102,99.0
202030,fast_duck,0.010101010101010102,99.0
202031,fast_duck,0.010101010101010102,99.0
202032,fast_duck,0.010101010101010102,99.0
202033,fast_duck,0.010101010101010102,99.0
202034,fast_duck,0.010101010101010102,99.0
202035,fast_duck,0.010101010101010102,99.0
202036,fast_duck,0.010101010101010102,99.0
202037,fast_duck,0.010101010101010102,99.0
202038,fast_duck,0.010101010101010102,99.0
202039,fast_duck,0.010101010101010102,99.0
202040,fast_duck,0.010101010101010102,99.0
202041,fast_duck,0.010101010101010102,99.0
202042,fast_duck,0.010101010101010102,99.0
202043,fast_duck,0.010101010101010102,99.0
202044,fast_duck,0.010101010101010102,99.0
202045,fast_duck,0.010101010101010102,99.0
202046,fast_duck,0.010101010101010102,99.0
202047,fast_duck,0.010101010101010102,99.0
202048,fast_duck,0.010101010101010102,99.0
202049,fast_duck,0.010101010101010102,99.0
202050,fast_duck,0.010101010101010102,99.0
202051,fast_duck,0.010101010101010102,99.0
202052,fast_duck,0.010101010101010102,99.0
