,YEAR_WEEK,BRAND,alex_SPEND,fiona_SPEND,jack_SPEND,laura_SPEND,lisa_SPEND,marc_SPEND,mary_SPEND,tom_SPEND,is_last_week,IS_JANUARY,IS_FEBRUARY,IS_MARCH,IS_APRIL,IS_MAY,IS_JUNE,IS_JULY,IS_AUGUST,IS_SEPTEMBER,IS_OCTOBER,IS_NOVEMBER,IS_DECEMBER,TARGET_VOL_SO,PROMOTION_FEATURE
35,201829,visitor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,137022.6,0.06954525102136658
36,201830,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,61853.0,0.07233394254682256
37,201830,fast_duck,0.0,0.0,0.01,9579.9,0.0,0.0,0.0,6478.36,0,0,0,0,0,0,0,1,0,0,0,0,0,607487.8,0.08315898861993204
38,201830,gold_plane,0.0,24413.0,5919.17,10759.807692308,0.0,0.0,8718.08,30153.307692308,0,0,0,0,0,0,0,1,0,0,0,0,0,48650.0,0.08243448623691661
39,201830,gracious_road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,14011.9,0.08597628129885752
40,201830,heavy_feather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,15172.2,0.11062289880712334
41,201830,ideal_mouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,12681.8,0.020516444967385774
42,201830,lully,0.0,0.0,11115.99,0.0,0.0,99139.0,0.0,6614.6,0,0,0,0,0,0,0,1,0,0,0,0,0,128685.0,0.07359090617045899
43,201830,moistured_bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1687.94,0,0,0,0,0,0,0,1,0,0,0,0,0,30720.4,0.026274994660034814
44,201830,red_ballon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1045.04,0,0,0,0,0,0,0,1,0,0,0,0,0,1922.5,0.046076053347829216
45,201830,silver_coin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,21540.3,0.07700159163473805
46,201830,viable_line,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1447.87,0,0,0,0,0,0,0,1,0,0,0,0,0,125716.5,0.06646534593332473
47,201830,visitor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,144048.8,0.07672112712070957
48,201831,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,59208.0,0.066694366053254
49,201831,fast_duck,0.0,0.0,0.0,9594.68,0.0,21157.5,0.0,4974.999999996,0,0,0,0,0,0,0,0,1,0,0,0,0,669757.8,0.08462693570192921
50,201831,gold_plane,0.0,4200.0,7067.11,10759.807692308,0.0,0.0,12361.3,30153.307692308,0,0,0,0,0,0,0,0,1,0,0,0,0,60147.2,0.0850591504132686
51,201831,gracious_road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,14335.6,0.08610750166949845
52,201831,heavy_feather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,15824.5,0.10952430082126402
53,201831,ideal_mouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5938.2,0,0,0,0,0,0,0,0,1,0,0,0,0,15286.5,0.034943879984837604
54,201831,lully,0.0,0.0,10534.76,0.0,0.0,0.0,0.0,6462.62,0,0,0,0,0,0,0,0,1,0,0,0,0,148823.4,0.07476320634235975
55,201831,moistured_bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1559.09,0,0,0,0,0,0,0,0,1,0,0,0,0,33749.1,0.029781665677021896
56,201831,red_ballon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.96,0,0,0,0,0,0,0,0,1,0,0,0,0,1828.8,0.03811597766741671
57,201831,silver_coin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,22676.3,0.0774198948986923
58,201831,viable_line,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.86,0,0,0,0,0,0,0,0,1,0,0,0,0,145303.3,0.07264427103370526
59,201831,visitor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,162354.0,0.07892558824514762
60,201832,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,67569.0,0.0677339890240221
61,201832,fast_duck,0.0,0.0,0.0,4692.74,0.0,285106.11,0.0,7535.1,0,0,0,0,0,0,0,0,1,0,0,0,0,616891.8,0.08065492622921314
62,201832,gold_plane,0.0,0.0,7812.26,10759.807692308,0.0,0.0,18481.74,30153.307692308,0,0,0,0,0,0,0,0,1,0,0,0,0,55679.8,0.0790955146580715
63,201832,gracious_road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1750.51,0,0,0,0,0,0,0,0,1,0,0,0,0,14165.7,0.08677780446339667
64,201832,heavy_feather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,16062.3,0.11155141201206566
65,201832,ideal_mouse,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,3741.85,0,0,0,0,0,0,0,0,1,0,0,0,0,14011.5,0.0340724513194914
66,201832,lully,0.0,0.0,10681.08,0.0,0.0,0.0,0.0,6292.75,0,0,0,0,0,0,0,0,1,0,0,0,0,146334.2,0.07723244276120957
67,201832,moistured_bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.5,0,0,0,0,0,0,0,0,1,0,0,0,0,34042.3,0.028675606595361523
68,201832,red_ballon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771.63,0,0,0,0,0,0,0,0,1,0,0,0,0,1722.8,0.04194680762841246
69,201832,silver_coin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832.43,0,0,0,0,0,0,0,0,1,0,0,0,0,22512.1,0.07760868073761731
70,201832,viable_line,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1096.56,0,0,0,0,0,0,0,0,1,0,0,0,0,145355.6,0.07146530109143007
71,201832,visitor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,159878.2,0.07207259640375054
72,201833,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,57565.0,0.060316320349150174
73,201833,fast_duck,0.0,0.0,0.0,6577.23,0.0,46227.38,0.0,7706.580000004,0,0,0,0,0,0,0,0,1,0,0,0,0,604947.2,0.08225367234743126
74,201833,gold_plane,0.0,0.0,5225.24,6148.461538462,0.0,0.0,18910.36,17230.461538462,0,0,0,0,0,0,0,0,1,0,0,0,0,52607.4,0.07652240853546675
75,201833,gracious_road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.58,0,0,0,0,0,0,0,0,1,0,0,0,0,14591.9,0.08749998452644898
76,201833,heavy_feather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,16870.5,0.11080496710002849
77,201833,ideal_mouse,0.0,10000.08,0.0,0.0,0.0,0.0,0.0,3623.73,0,0,0,0,0,0,0,0,1,0,0,0,0,12156.8,0.02664078844455889
78,201833,lully,0.0,0.0,11340.67,0.0,0.0,176653.0,0.0,6333.53,0,0,0,0,0,0,0,0,1,0,0,0,0,127786.4,0.07252653374483982
79,201833,moistured_bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1615.9,0,0,0,0,0,0,0,0,1,0,0,0,0,33350.3,0.02488155481053502
80,201833,red_ballon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.37,0,0,0,0,0,0,0,0,1,0,0,0,0,1822.5,0.03653432722218792
81,201833,silver_coin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1167.57,0,0,0,0,0,0,0,0,1,0,0,0,0,23391.2,0.07549333254079296
82,201833,viable_line,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1558.46,0,0,0,0,0,0,0,0,1,0,0,0,0,220205.0,0.08624754743228434
83,201833,visitor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,147972.0,0.061703439873601884
84,201834,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,54176.3,0.05911217037344717
85,201834,fast_duck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4529.56,0,0,0,0,0,0,0,0,1,0,0,0,0,528930.1,0.082239255248281
86,201834,gold_plane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,45841.1,0.08107001508811927
87,201834,gracious_road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0,0,0,0,0,0,0,0,1,0,0,0,0,13393.5,0.0879755213852822
88,201834,heavy_feather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,16116.7,0.11279581829719786
89,201834,ideal_mouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,10566.3,0.015315679415584958
90,201834,lully,0.0,0.0,10779.56,0.0,0.0,0.0,0.0,6263.67,0,0,0,0,0,0,0,0,1,0,0,0,0,111716.1,0.07145105401826897
91,201834,moistured_bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1665.41,0,0,0,0,0,0,0,0,1,0,0,0,0,29553.0,0.022659350394957645
92,201834,red_ballon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.85,0,0,0,0,0,0,0,0,1,0,0,0,0,1908.5,0.08659642995545871
93,201834,silver_coin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,22013.9,0.07590741965222893
94,201834,viable_line,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1366.59,0,0,0,0,0,0,0,0,1,0,0,0,0,162813.0,0.07767118863894414
95,201834,visitor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,146130.8,0.07084062453647942
96,201835,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,70441.5,0.06931629575791287
97,201835,fast_duck,0.0,0.0,0.01,0.0,0.0,0.0,0.0,9135.46,0,0,0,0,0,0,0,0,1,0,0,0,0,491535.3,0.0823047859547954
98,201835,gold_plane,0.0,11913.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,37980.3,0.07023240941958174
99,201835,gracious_road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0,0,0,0,0,0,0,0,1,0,0,0,0,13418.9,0.08756970617454722
