,YEAR_WEEK,is_last_week,january,february,march,april,may,june,july,august,september,october,november,december
101,202024,0,0,0,0,0,0,1,0,0,0,0,0,0
102,202025,0,0,0,0,0,0,1,0,0,0,0,0,0
103,202026,0,0,0,0,0,0,1,0,0,0,0,0,0
104,202027,0,0,0,0,0,0,0,1,0,0,0,0,0
105,202028,0,0,0,0,0,0,0,1,0,0,0,0,0
106,202029,0,0,0,0,0,0,0,1,0,0,0,0,0
107,202030,0,0,0,0,0,0,0,1,0,0,0,0,0
108,202031,0,0,0,0,0,0,0,1,0,0,0,0,0
109,202032,0,0,0,0,0,0,0,0,1,0,0,0,0
110,202033,0,0,0,0,0,0,0,0,1,0,0,0,0
111,202034,0,0,0,0,0,0,0,0,1,0,0,0,0
112,202035,0,0,0,0,0,0,0,0,1,0,0,0,0
113,202036,0,0,0,0,0,0,0,0,0,1,0,0,0
114,202037,0,0,0,0,0,0,0,0,0,1,0,0,0
115,202038,0,0,0,0,0,0,0,0,0,1,0,0,0
116,202039,0,0,0,0,0,0,0,0,0,1,0,0,0
117,202040,0,0,0,0,0,0,0,0,0,1,0,0,0
118,202041,0,0,0,0,0,0,0,0,0,0,1,0,0
119,202042,0,0,0,0,0,0,0,0,0,0,1,0,0
120,202043,0,0,0,0,0,0,0,0,0,0,1,0,0
121,202044,0,0,0,0,0,0,0,0,0,0,1,0,0
122,202045,0,0,0,0,0,0,0,0,0,0,0,1,0
123,202046,0,0,0,0,0,0,0,0,0,0,0,1,0
124,202047,0,0,0,0,0,0,0,0,0,0,0,1,0
125,202048,0,0,0,0,0,0,0,0,0,0,0,1,0
126,202049,0,0,0,0,0,0,0,0,0,0,0,0,1
127,202050,0,0,0,0,0,0,0,0,0,0,0,0,1
128,202051,0,0,0,0,0,0,0,0,0,0,0,0,1
129,202052,0,0,0,0,0,0,0,0,0,0,0,0,1
130,202053,1,0,0,0,0,0,0,0,0,0,0,0,1
131,202101,0,1,0,0,0,0,0,0,0,0,0,0,0
132,202102,0,1,0,0,0,0,0,0,0,0,0,0,0
133,202103,0,1,0,0,0,0,0,0,0,0,0,0,0
134,202104,0,1,0,0,0,0,0,0,0,0,0,0,0
135,202105,0,0,1,0,0,0,0,0,0,0,0,0,0
136,202106,0,0,1,0,0,0,0,0,0,0,0,0,0
137,202107,0,0,1,0,0,0,0,0,0,0,0,0,0
138,202108,0,0,1,0,0,0,0,0,0,0,0,0,0
139,202109,0,0,0,1,0,0,0,0,0,0,0,0,0
140,202110,0,0,0,1,0,0,0,0,0,0,0,0,0
