,YEAR_WEEK,BRAND,VOLUME_SO,relative_gap_to_90th_price
0,201827,ideal_mouse,9442.9,0.018910413023072586
1,201828,ideal_mouse,10590.2,0.017290016125800674
2,201829,ideal_mouse,12151.5,0.023018704224817516
3,201830,ideal_mouse,12681.8,0.020516444967385774
4,201831,ideal_mouse,15286.5,0.034943879984837604
5,201832,ideal_mouse,14011.5,0.0340724513194914
6,201833,ideal_mouse,12156.8,0.02664078844455889
7,201834,ideal_mouse,10566.3,0.015315679415584958
8,201835,ideal_mouse,8816.3,0.018916382599700573
9,201836,ideal_mouse,7487.3,0.018691782577766342
10,201837,ideal_mouse,7223.3,0.030375799497867395
11,201838,ideal_mouse,6378.8,0.03408590204454404
12,201839,ideal_mouse,5950.5,0.026617379875995887
13,201840,ideal_mouse,5780.6,0.01148071058612419
14,201841,ideal_mouse,5042.5,0.008311870965079335
15,201842,ideal_mouse,5144.9,0.008013901183372285
16,201843,ideal_mouse,7704.9,0.0955397523442044
17,201844,ideal_mouse,8073.8,0.045052949353587224
18,201845,ideal_mouse,5559.8,0.01885831228646489
19,201846,ideal_mouse,4404.0,0.006832989994898295
20,201847,ideal_mouse,4494.8,0.007960674432686379
21,201848,ideal_mouse,4802.3,0.0068570437054547365
22,201849,ideal_mouse,5605.5,0.0036672688456742147
23,201850,ideal_mouse,5928.9,0.0046779873022525734
24,201851,ideal_mouse,9377.3,0.006828367590762978
25,201852,ideal_mouse,7260.0,0.006856881916616464
26,201901,ideal_mouse,5013.0,0.003911285935845308
27,201902,ideal_mouse,3683.1,-0.0008861083184587335
28,201903,ideal_mouse,3738.8,-0.000259557330700225
29,201904,ideal_mouse,3792.0,-0.0001769319124157297
30,201905,ideal_mouse,4148.1,-0.0035858286586359198
31,201906,ideal_mouse,4397.7,0.004422353548186564
32,201907,ideal_mouse,4614.3,0.006544209468394987
33,201908,ideal_mouse,4622.3,0.00043102589522525035
34,201909,ideal_mouse,4832.3,-0.0015361497408680742
35,201910,ideal_mouse,4648.5,0.010275051222574199
36,201911,ideal_mouse,4510.8,-0.0019455705059027914
37,201912,ideal_mouse,4643.4,0.005530464928384995
38,201913,ideal_mouse,6392.0,0.014040471666745524
39,201914,ideal_mouse,5453.3,0.0023495476722727045
40,201915,ideal_mouse,5353.5,-0.000412376092062122
41,201916,ideal_mouse,7050.0,0.002593612113256603
42,201917,ideal_mouse,5579.1,0.0006579176143609986
43,201918,ideal_mouse,6356.7,0.007231836409751419
44,201919,ideal_mouse,6318.3,9.709537806777475e-05
45,201920,ideal_mouse,7546.9,0.013647315633512727
46,201921,ideal_mouse,8355.2,0.03589958973777882
47,201922,ideal_mouse,8362.7,0.014583311458131134
48,201923,ideal_mouse,7656.0,0.006794445203604958
49,201924,ideal_mouse,7217.3,0.0017311394423016495
50,201925,ideal_mouse,8101.0,0.010787687952213071
51,201926,ideal_mouse,9143.0,0.011697964246620896
52,201927,ideal_mouse,9925.3,0.011151954940668429
53,201928,ideal_mouse,12827.0,0.023044863002693133
54,201929,ideal_mouse,12809.3,0.018948008310420872
55,201930,ideal_mouse,12161.0,0.014401857952866741
56,201931,ideal_mouse,14062.7,0.020599756691555084
57,201932,ideal_mouse,13719.9,0.018634615128360954
58,201933,ideal_mouse,12515.6,0.014759341730044949
59,201934,ideal_mouse,11388.2,0.019071921674300437
60,201935,ideal_mouse,9694.7,0.01393160680068088
61,201936,ideal_mouse,8075.1,0.006371720539229913
62,201937,ideal_mouse,6874.7,0.009505987003215354
63,201938,ideal_mouse,6502.2,0.0063067401842305994
64,201939,ideal_mouse,5965.4,0.0021997777050837162
65,201940,ideal_mouse,7355.6,0.06139131961158029
66,201941,ideal_mouse,5607.7,0.020394912821310365
67,201942,ideal_mouse,5142.6,0.0062392754173266765
68,201943,ideal_mouse,5348.4,0.00417225158399082
69,201944,ideal_mouse,6174.6,0.01082098151583701
70,201945,ideal_mouse,5670.4,0.013809601445518693
71,201946,ideal_mouse,5071.5,0.01192423913538538
72,201947,ideal_mouse,6452.0,0.024472680386081865
73,201948,ideal_mouse,5810.5,0.021942066286656552
74,201949,ideal_mouse,5745.5,0.012118446653230492
75,201950,ideal_mouse,6225.1,0.014965567435064522
76,201951,ideal_mouse,8758.4,0.01816229591971126
77,201952,ideal_mouse,8300.6,0.017270318009284094
78,202001,ideal_mouse,6766.1,0.011226519501561347
79,202002,ideal_mouse,3765.1,0.0065149571242336425
80,202003,ideal_mouse,3947.5,0.005713987141193574
81,202004,ideal_mouse,4129.9,0.002590850566692945
82,202005,ideal_mouse,4422.7,0.0037549767089971268
83,202006,ideal_mouse,4389.5,0.0041531664573340125
84,202007,ideal_mouse,5151.7,0.006383337477351007
85,202008,ideal_mouse,4985.5,0.0032314383516494965
86,202009,ideal_mouse,5150.2,0.0036143570986366187
87,202010,ideal_mouse,4794.8,0.00620179776943759
88,202011,ideal_mouse,4843.8,0.0012365513463743227
89,202012,ideal_mouse,4007.1,-0.010243627468625177
90,202013,ideal_mouse,4387.7,-0.0037745016893713738
91,202014,ideal_mouse,4742.7,-0.004060339906001721
92,202015,ideal_mouse,6183.4,-0.0035412874429032247
93,202016,ideal_mouse,6045.6,-0.003783496558636129
94,202017,ideal_mouse,6257.6,-0.0022072158591095272
95,202018,ideal_mouse,5506.2,-0.0001456430671016066
96,202019,ideal_mouse,6544.2,-0.00036722604984762024
97,202020,ideal_mouse,7176.3,0.0015144184888882324
98,202021,ideal_mouse,8442.8,0.0038423851116115124
99,202022,ideal_mouse,9496.7,0.0093790078371286
