,0
0,465483.6147694103
1,465483.6147694103
2,465483.6147694103
3,465555.0696452209
4,465716.6234188602
5,465904.1273262317
6,466089.9818210898
7,466259.43700805726
8,466421.7906719057
9,466567.6597305576
10,465844.24876935047
11,465844.24876935047
12,465844.24876935047
13,465850.8489312415
14,465877.4571801606
15,465904.1273262317
16,465932.95426155924
17,465961.2045199904
18,465989.4367222726
19,466016.9625858431
20,465904.1273262317
21,465904.1273262317
22,465904.1273262317
23,465904.1273262317
24,465904.1273262317
25,465904.1273262317
26,465904.1273262317
27,465904.1273262317
28,465904.1273262317
29,465904.1273262317
30,464892.4375323649
31,464911.9212924948
32,465188.4086521471
33,465483.89201212005
34,465709.55072465196
35,465904.1273262317
36,466074.5089437695
37,466216.45938216214
38,466333.7813414936
39,466435.0335997439
40,465901.46760048706
41,465901.46760048706
42,465901.46760048706
43,465901.46760048706
44,465902.4657580156
45,465904.1273262317
46,465906.8293178557
47,465909.63881374523
48,465912.6989276208
49,465916.22974996717
50,465688.9570395603
51,465698.9498290141
52,465748.41667584365
53,465802.1316696303
54,465856.7395053411
55,465904.1273262317
56,465946.03052973555
57,465985.98979448114
58,466021.8388767387
59,466054.22336204397
60,465904.1273262317
61,465904.1273262317
62,465904.1273262317
63,465904.1273262317
64,465904.1273262317
65,465904.1273262317
66,465904.1273262317
67,465904.1273262317
68,465904.1273262317
69,465904.1273262317
70,465307.08302414586
71,465307.08302414586
72,465342.54352101305
73,465552.01764152624
74,465741.06823153206
75,465904.1273262317
76,466067.3783673193
77,466212.75087371375
78,466339.3682427321
79,466455.7498905546
80,465640.8946027989
81,465659.8556174842
82,465730.0278236097
83,465795.1732264104
84,465852.99311272963
85,465904.1273262317
86,465946.9577557488
87,465984.1137043437
88,466019.6459901514
89,466052.71380010206
90,465904.1273262317
91,465904.1273262317
92,465904.1273262317
93,465904.1273262317
94,465904.1273262317
95,465904.1273262317
96,465904.1273262317
97,465904.1273262317
98,465904.1273262317
99,465904.1273262317
100,465904.1273262317
101,465904.1273262317
102,465904.1273262317
103,465904.1273262317
104,465904.1273262317
105,465904.1273262317
106,465904.1273262317
107,465904.1273262317
108,465904.1273262317
109,465904.1273262317
110,465518.2351611312
111,465557.3531759314
112,465652.29815407126
113,465745.08648844785
114,465828.50366716745
115,465904.1273262317
116,465972.1057492865
117,466033.4163289892
118,466088.5067847043
119,466138.6527384863
120,465427.33783629443
121,465471.3637369445
122,465587.01973119983
123,465707.44984946516
124,465813.9345345984
125,465904.1273262317
126,465986.03946449974
127,466059.9479255312
128,466125.32178877236
129,466183.6143362239
