CATEGORY,BRAND,EAN,YEAR_WEEK,DISTRIBUTION_CODE,SALES_SO,VOLUME_SO,SALES_SO_PROMO,VOLUME_SO_PROMO,sales_non_promo,volume_non_promo,,
joy,ideal_mouse,,201945,hyper_top,89462.1,5670.4,9056.1,565.6,,,,
joy,ideal_mouse,,201946,hyper_top,80166.2,5071.5,10667.7,656.8,,,,
joy,ideal_mouse,,201947,hyper_top,100692.8,6452,35898.8,2413.8,,,,
joy,ideal_mouse,,201948,hyper_top,90916.5,5810.5,20815.9,1416.1,,,,
joy,ideal_mouse,,201949,hyper_top,90802.4,5745.5,7668.1,492.3,,,,
joy,ideal_mouse,,201950,hyper_top,98098.5,6225.1,2951.8,187.8,,,,
joy,ideal_mouse,,201951,hyper_top,137571.7,8758.4,8025.2,538.1,,,,
joy,ideal_mouse,,201952,hyper_top,130499.3,8300.6,35940.2,2324.9,,,,
joy,ideal_mouse,,202001,hyper_top,107028.6,6766.1,6757.1,434.9,,,,
joy,ideal_mouse,,202002,hyper_top,59841.5,3765.1,3199.6,214.8,,,,
joy,ideal_mouse,,202003,hyper_top,62791.1,3947.5,2260.5,147.9,,,,
joy,ideal_mouse,,202004,hyper_top,65898.8,4129.9,1111.2,69.6,,,,
joy,ideal_mouse,,202005,hyper_top,70488.5,4422.7,1728.7,110.3,,,,
joy,ideal_mouse,,202006,hyper_top,69931.4,4389.5,2109.4,132.7,,,,
joy,ideal_mouse,,202007,hyper_top,81890.6,5151.7,7325.1,471.5,,,,
joy,ideal_mouse,,202008,hyper_top,79500.1,4985.5,1687,107.2,,,,
joy,ideal_mouse,,202009,hyper_top,82094.9,5150.2,5229.4,345,,,,
joy,ideal_mouse,,202010,hyper_top,76231.3,4794.8,2044.9,133.6,,,,
joy,ideal_mouse,,202011,hyper_top,77395.1,4843.8,3259.7,211.2,,,,
joy,ideal_mouse,,202012,hyper_top,64762.1,4007.1,1136,73.8,,,,
joy,ideal_mouse,,202013,hyper_top,70459.2,4387.7,574.5,37.9,,,,
joy,ideal_mouse,,202014,hyper_top,76181.6,4742.7,789.3,49.5,,,,
joy,ideal_mouse,,202015,hyper_top,99272.1,6183.4,1663.5,110.8,,,,
joy,ideal_mouse,,202016,hyper_top,97083.2,6045.6,19527.1,1246.3,,,,
joy,ideal_mouse,,202017,hyper_top,100329.8,6257.6,11607.3,742.2,,,,
joy,ideal_mouse,,202018,hyper_top,88100.8,5506.2,3282.3,207.8,,,,
