draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta1.1,beta1.2,beta1.3,beta1.4,beta1.5,beta1.6,beta1.7,beta1.8,beta1.9,beta1.10,beta1.11,beta1.12,alpha,noise_var
10,215.92783348254997,0.9264329188901399,0.20985579023658457,3.0,7.0,0.0,-212.25452895888208,0.3165990550956903,0.3438124488664751,0.5011881090441553,0.3633787645136744,0.4605775835928844,0.28110472216097115,0.29049726145499133,0.3987948893801396,0.404248976627246,0.5224238248196877,0.37730171977090143,0.4680443147946546,0.6000899580522588,0.014044838922765068
11,218.32608308883746,0.7743836345187188,0.09639360725096661,4.0,15.0,0.0,-209.9812055994819,0.477068001472702,0.46533906357381505,0.6097743580500683,0.5381864715211374,0.6112102917551908,0.38947781064101117,0.3137698895198279,0.49627004720873513,0.48168323723308426,0.6071618671588439,0.46900373000725254,0.47685485601343136,0.49097148586842726,0.01312740906953136
12,208.40489989708033,0.9885437760410196,0.11776663328442276,3.0,15.0,0.0,-204.06714158773497,0.3847816592412281,0.3008893569752498,0.4745561906411131,0.463990847171708,0.48580325847698785,0.25196440125883307,0.2494342279339115,0.3582635435010225,0.3063248899077305,0.40719057718107354,0.4057794683476852,0.37175302120505044,0.6214506675318754,0.01675935079159625
13,219.63623921625197,0.8962637711195787,0.052221017393700386,4.0,31.0,0.0,-217.1698469828392,0.5796717032439366,0.5521785213375455,0.7702655558995954,0.6993058993940531,0.730342289479651,0.535383447563539,0.5051302275529015,0.7030285053098101,0.5716141277377472,0.811034192170301,0.5779033732202252,0.6657364909722318,0.3570568085183828,0.014885191548901631
14,212.18385733214026,0.8562259797517882,0.20985579023658457,4.0,15.0,0.0,-205.98424633112677,0.38996348231290195,0.22791213803769175,0.5306536659717941,0.48952557568628186,0.4565111963852787,0.31001027801432113,0.27664817425750027,0.37806012331759015,0.42682237007564683,0.5448928686509252,0.375840661080217,0.44166866146046213,0.5951314097928221,0.015664356792539896
15,215.3131633325148,0.15899327608028185,0.09639360725096661,5.0,47.0,0.0,-204.8093540946345,0.4534061798179634,0.46486676127240834,0.5964709052975734,0.5352995747930502,0.5946307330406074,0.37282754676203067,0.29629729436915736,0.48155982710171474,0.47951285323021214,0.6513448521464935,0.4540151035671896,0.4723826056192236,0.5370469887065304,0.01339322317412697
16,211.88480520756383,0.9996871898063354,0.11776663328442276,4.0,15.0,0.0,-203.1888809501257,0.32989536277168446,0.37994073886927526,0.5254921118593645,0.41110053003635333,0.46104150970499386,0.24751257301207275,0.20357991451243898,0.3370709943183036,0.32614185737350904,0.46451750673846576,0.394969274508782,0.3603471147759302,0.6217285472652762,0.018040980816935736
17,220.39021401784248,0.7507249449506165,0.052221017393700386,5.0,31.0,0.0,-210.52347708057354,0.5939998710494495,0.569221109390103,0.747773899238583,0.7073485837346862,0.7234006357596472,0.5151322440995411,0.4939399096288817,0.6964243197070072,0.5860819223110993,0.799862510170667,0.5812925881561885,0.6657728981377257,0.3479441896990195,0.014776754812214129
18,207.55690341181605,0.8010526847809799,0.20985579023658457,3.0,7.0,0.0,-200.5423503739139,0.3738137722700285,0.2235165894025707,0.5096573362620478,0.5350497306781816,0.45226338561137197,0.31353111772843933,0.31409259095087766,0.37523900432991536,0.42604026410062174,0.5312371109827339,0.3895049451881306,0.45657507838595307,0.5704837073327926,0.015534809059692137
19,216.057582492325,0.7626675410510306,0.09639360725096661,4.0,15.0,0.0,-207.63147075833206,0.45485000160509526,0.4642847433126825,0.5936317233283207,0.5405162243143605,0.5951174814127084,0.3669043825548887,0.2806299517054506,0.47363871421172554,0.4885106866017458,0.6389357404257265,0.45685818674892076,0.4620117498361714,0.496688941920024,0.01349451313248513
20,213.30808246060377,0.9918963430102733,0.11776663328442276,4.0,15.0,0.0,-207.3553056425413,0.3533711036187403,0.2768838474937633,0.5330583627504828,0.46301955854927895,0.44639751971311037,0.2793330348592352,0.2551019197496296,0.3456707394944964,0.4335289248333221,0.527810568195634,0.3677217151720808,0.4561340123250841,0.6017599890950425,0.019558482972294424
21,214.31853828342173,0.8066937916606565,0.052221017393700386,5.0,31.0,0.0,-208.08970012075667,0.5647470000402605,0.6609451271001772,0.7348880858217387,0.6681518273399404,0.7035247057876276,0.5116045797896683,0.5024598144208942,0.7476629094897311,0.600174904931316,0.8171398186120082,0.5970475864997253,0.6214814897251332,0.3675692658568756,0.016024725175180464
