CATEGORY,BRAND,SUB_BRAND,BRAND_QUALITY_ID,EAN,YEAR_WEEK,DISTRIBUTION_CODE,DISTRIBUTION,DISTRIBUTION_PROMO,DISTRIBUTION_DISPLAY,DISTRIBUTION_FEATURE_DISPLAY,DISTRIBUTION_FEATURE
joy,ideal_mouse,,,,202015,hyper_top,63,0,1,0,0
joy,ideal_mouse,,,,202016,hyper_top,64,0,1,0,6
joy,ideal_mouse,,,,202017,hyper_top,66,0,1,0,6
joy,ideal_mouse,,,,202018,hyper_top,66,0,2.5,0,1
joy,ideal_mouse,,,,202019,hyper_top,67,0,3.5,0,1
joy,ideal_mouse,,,,202020,hyper_top,70,0,3.5,0,0
joy,ideal_mouse,,,,202021,hyper_top,71,0,1,0,2
joy,ideal_mouse,,,,202022,hyper_top,72,0,2,0,8
joy,ideal_mouse,,,,202023,hyper_top,74,0,2,0,15
joy,ideal_mouse,,,,202024,hyper_top,75,0,3,0,7
joy,ideal_mouse,,,,202025,hyper_top,76,0,3,0,4
joy,ideal_mouse,,,,202026,hyper_top,74,0,2,0,1
joy,ideal_mouse,,,,202027,hyper_top,74,0,1,0,0
joy,ideal_mouse,,,,202028,hyper_top,74,0,2,0,11
joy,ideal_mouse,,,,202029,hyper_top,75,0,3,0,9
joy,ideal_mouse,,,,202030,hyper_top,75,0,4,0,0
joy,ideal_mouse,,,,202031,hyper_top,76,0,4,0,3
joy,ideal_mouse,,,,202032,hyper_top,76,0,4,0,2
joy,ideal_mouse,,,,202033,hyper_top,76,0,2,0,2
joy,ideal_mouse,,,,202034,hyper_top,77,0,2,0,12
joy,ideal_mouse,,,,202035,hyper_top,76,0,1,0,12
joy,ideal_mouse,,,,202036,hyper_top,75,0,4,0,4
joy,ideal_mouse,,,,202037,hyper_top,74,0,5,0,0
joy,ideal_mouse,,,,202038,hyper_top,73,0,4,0,0
joy,ideal_mouse,,,,202039,hyper_top,73,0,2,0,1
joy,ideal_mouse,,,,202040,hyper_top,71,0,2,0,7
joy,ideal_mouse,,,,202041,hyper_top,70,0,3,0,0
joy,ideal_mouse,,,,202042,hyper_top,69,0,4,0,0
joy,ideal_mouse,,,,202043,hyper_top,70,0,1,0,0
joy,ideal_mouse,,,,202044,hyper_top,69,0,3,0,0
joy,ideal_mouse,,,,202045,hyper_top,69,0,2,0,0
joy,ideal_mouse,,,,202046,hyper_top,69,0,2,0,0
joy,ideal_mouse,,,,202047,hyper_top,69,0,2,0,0
joy,ideal_mouse,,,,202048,hyper_top,69,0,2,0,0
joy,ideal_mouse,,,,202049,hyper_top,71,0,2,0,0
joy,ideal_mouse,,,,202050,hyper_top,72,0,1,0,7
joy,ideal_mouse,,,,202051,hyper_top,74,0,5,0,9
joy,ideal_mouse,,,,202052,hyper_top,76,0,4,0,9
joy,ideal_mouse,,,,202053,hyper_top,76,0,4,0,16
joy,ideal_mouse,,,,202101,hyper_top,70,0,3,0,0
joy,ideal_mouse,,,,202102,hyper_top,69,0,2,0,0
joy,ideal_mouse,,,,202103,hyper_top,68,0,2,0,0
joy,ideal_mouse,,,,202104,hyper_top,67,0,3,0,0
joy,ideal_mouse,,,,202105,hyper_top,66,0,1,0,0
joy,ideal_mouse,,,,202106,hyper_top,67,0,1,0,0
joy,ideal_mouse,,,,202107,hyper_top,68,0,1,0,0
joy,ideal_mouse,,,,202108,hyper_top,68,0,2,0,0
joy,ideal_mouse,,,,202109,hyper_top,68,0,3,0,0
joy,ideal_mouse,,,,202110,hyper_top,68,0,1,0,0
joy,ideal_mouse,,,,202111,hyper_top,68,0,2,0,0
joy,ideal_mouse,,,,202112,hyper_top,68,0,1,0,0
joy,ideal_mouse,,,,202113,hyper_top,70,0,1,0,0
joy,ideal_mouse,,,,202114,hyper_top,68,0,1,0,0
joy,ideal_mouse,,,,202115,hyper_top,69,0,1,0,0
joy,ideal_mouse,,,,202116,hyper_top,70,0,0,0,0
joy,ideal_mouse,,,,202117,hyper_top,69,0,1,0,13
joy,ideal_mouse,,,,202118,hyper_top,72,0,3,0,13
joy,ideal_mouse,,,,202119,hyper_top,73,0,4,0,0
joy,ideal_mouse,,,,202120,hyper_top,72,0,2,0,9
joy,ideal_mouse,,,,202121,hyper_top,73,0,2,0,10
joy,ideal_mouse,,,,202122,hyper_top,73,0,4,0,10
joy,ideal_mouse,,,,202123,hyper_top,73,0,3,0,9
joy,ideal_mouse,,,,202124,hyper_top,74,0,3,0,0
joy,ideal_mouse,,,,202125,hyper_top,74,0,3,0,0
joy,ideal_mouse,,,,202126,hyper_top,74,0,5,0,0
joy,angry_cat,,,,201827,hyper_top,97,0,4,0,1
joy,angry_cat,,,,201828,hyper_top,97,0,3,0,0
joy,angry_cat,,,,201829,hyper_top,97,0,2,0,4
joy,angry_cat,,,,201830,hyper_top,97,0,3,0,16
joy,angry_cat,,,,201831,hyper_top,97,0,5,0,4
joy,angry_cat,,,,201832,hyper_top,97,0,6,0,11
joy,angry_cat,,,,201833,hyper_top,97,0,9,0,0
joy,angry_cat,,,,201834,hyper_top,97,0,6,0,1
joy,angry_cat,,,,201835,hyper_top,97,0,2,0,20
joy,angry_cat,,,,201836,hyper_top,97,0,3,0,22
joy,angry_cat,,,,201837,hyper_top,97,0,3,0,19
joy,angry_cat,,,,201838,hyper_top,97,0,5,0,13
joy,angry_cat,,,,201839,hyper_top,97,0,7,0,1
joy,angry_cat,,,,201840,hyper_top,97,0,4,0,1
joy,angry_cat,,,,201841,hyper_top,97,0,2,0,0
joy,angry_cat,,,,201842,hyper_top,97,0,1,0,24
joy,angry_cat,,,,201843,hyper_top,97,0,8,0,2
joy,angry_cat,,,,201844,hyper_top,97,0,6,0,32
joy,angry_cat,,,,201845,hyper_top,97,0,5,0,43
joy,angry_cat,,,,201846,hyper_top,97,0,9,0,10
joy,angry_cat,,,,201847,hyper_top,97,0,8,0,21
joy,angry_cat,,,,201848,hyper_top,97,0,4,0,34
joy,angry_cat,,,,201849,hyper_top,97,0,7,0,58
joy,angry_cat,,,,201850,hyper_top,97,0,8,0,36
joy,angry_cat,,,,201851,hyper_top,98,0,13,0,32
joy,angry_cat,,,,201852,hyper_top,97,0,17,0,11
joy,angry_cat,,,,201901,hyper_top,96,0,9,0,14
joy,angry_cat,,,,201902,hyper_top,95,0,7,0,30
joy,angry_cat,,,,201903,hyper_top,93,0,8,0,25
joy,angry_cat,,,,201904,hyper_top,92,0,7,0,19
joy,angry_cat,,,,201905,hyper_top,90,0,6,0,9
joy,angry_cat,,,,201906,hyper_top,89,0,5,0,3
joy,angry_cat,,,,201907,hyper_top,88,0,5,0,3
joy,angry_cat,,,,201908,hyper_top,87,0,5,0,7
joy,angry_cat,,,,201909,hyper_top,86,0,4,0,17
joy,angry_cat,,,,201910,hyper_top,85,0,4,0,11
joy,angry_cat,,,,201911,hyper_top,86,0,8,0,12
joy,angry_cat,,,,201912,hyper_top,87,0,6,0,16
joy,angry_cat,,,,201913,hyper_top,86,0,5,0,12
joy,angry_cat,,,,201914,hyper_top,90,0,2,0,0
joy,angry_cat,,,,201915,hyper_top,93,0,2,0,1
joy,angry_cat,,,,201916,hyper_top,97,0,3,0,2
joy,angry_cat,,,,201917,hyper_top,97,0,4,0,7
joy,angry_cat,,,,201918,hyper_top,97,0,4,0,3
joy,angry_cat,,,,201919,hyper_top,97,0,4,0,6
joy,angry_cat,,,,201920,hyper_top,97,0,3,0,3
joy,angry_cat,,,,201921,hyper_top,97,0,4,0,0
joy,angry_cat,,,,201922,hyper_top,97,0,3,0,0
joy,angry_cat,,,,201923,hyper_top,97,0,3,0,0
joy,angry_cat,,,,201924,hyper_top,97,1,2,0,18
joy,angry_cat,,,,201925,hyper_top,97,1,2,0,19
joy,angry_cat,,,,201926,hyper_top,97,0,2,0,0
joy,angry_cat,,,,201927,hyper_top,97,0,2,0,0
joy,angry_cat,,,,201928,hyper_top,97,0,1,0,0
joy,angry_cat,,,,201929,hyper_top,97,0,1,0,2
joy,angry_cat,,,,201930,hyper_top,97,0,1,0,3
joy,angry_cat,,,,201931,hyper_top,97,0,3,0,7
joy,angry_cat,,,,201932,hyper_top,97,0,3,0,7
joy,angry_cat,,,,201933,hyper_top,97,0,2,0,4
joy,angry_cat,,,,201934,hyper_top,97,0,1,0,3
joy,angry_cat,,,,201935,hyper_top,97,0,2,0,11
joy,angry_cat,,,,201936,hyper_top,97,0,1,0,10
joy,angry_cat,,,,201937,hyper_top,97,0,2,0,14
joy,angry_cat,,,,201938,hyper_top,97,0,2,0,12
joy,angry_cat,,,,201939,hyper_top,97,0,4,0,23
joy,angry_cat,,,,201940,hyper_top,97,0,10,0,1
joy,angry_cat,,,,201941,hyper_top,97,0,9,0,0
joy,angry_cat,,,,201942,hyper_top,97,0,3,0,22
joy,angry_cat,,,,201943,hyper_top,97,0,4,0,12
joy,angry_cat,,,,201944,hyper_top,97,0,5,0,18
joy,angry_cat,,,,201945,hyper_top,97,0,3,0,16
joy,angry_cat,,,,201946,hyper_top,97,0,7,0,9
joy,angry_cat,,,,201947,hyper_top,97,0,7,0,12
joy,angry_cat,,,,201948,hyper_top,97,0,9,0,21
joy,angry_cat,,,,201949,hyper_top,97,0,17,0,40
joy,angry_cat,,,,201950,hyper_top,97,0,25,0,49
joy,angry_cat,,,,201951,hyper_top,98,0,28,0,44
joy,angry_cat,,,,201952,hyper_top,98,0,26,0,1
joy,angry_cat,,,,202001,hyper_top,98,0,23,0,14
joy,angry_cat,,,,202002,hyper_top,97,0,13,0,17
joy,angry_cat,,,,202003,hyper_top,97,0,11,0,2
joy,angry_cat,,,,202004,hyper_top,97,0,9,0,4
joy,angry_cat,,,,202005,hyper_top,97,0,7,0,3
joy,angry_cat,,,,202006,hyper_top,97,0,3,0,2
joy,angry_cat,,,,202007,hyper_top,97,0,4,0,2
joy,angry_cat,,,,202008,hyper_top,97,0,6,0,7
joy,angry_cat,,,,202009,hyper_top,97,0,7,0,4
joy,angry_cat,,,,202010,hyper_top,97,0,8,0,0
joy,angry_cat,,,,202011,hyper_top,97,0,4,0,0
joy,angry_cat,,,,202012,hyper_top,96,0,3,0,10
joy,angry_cat,,,,202013,hyper_top,96,0,4,0,8
joy,angry_cat,,,,202014,hyper_top,97,0,2.5,0,18
joy,angry_cat,,,,202015,hyper_top,97,0,2.5,0,18
joy,angry_cat,,,,202016,hyper_top,96,0,2.5,0,0
joy,angry_cat,,,,202017,hyper_top,97,0,2.5,0,0
joy,angry_cat,,,,202018,hyper_top,97,0,3,0,0
joy,angry_cat,,,,202019,hyper_top,97,0,3,0,3
joy,angry_cat,,,,202020,hyper_top,98,0,4,0,27
joy,angry_cat,,,,202021,hyper_top,98,0,2,0,23
joy,angry_cat,,,,202022,hyper_top,98,0,3,0,0
joy,angry_cat,,,,202023,hyper_top,98,0,2,0,7
joy,angry_cat,,,,202024,hyper_top,98,0,2,0,9
joy,angry_cat,,,,202025,hyper_top,98,0,2,0,3
joy,angry_cat,,,,202026,hyper_top,97,0,3,0,0
joy,angry_cat,,,,202027,hyper_top,97,0,3,0,0
joy,angry_cat,,,,202028,hyper_top,97,0,4,0,16
joy,angry_cat,,,,202029,hyper_top,97,0,4,0,16
joy,angry_cat,,,,202030,hyper_top,97,0,4,0,2
joy,angry_cat,,,,202031,hyper_top,97,0,6,0,19
joy,angry_cat,,,,202032,hyper_top,98,0,5,0,19
joy,angry_cat,,,,202033,hyper_top,98,0,4,0,2
joy,angry_cat,,,,202034,hyper_top,97,0,3,0,14
joy,angry_cat,,,,202035,hyper_top,97,0,3,0,35
joy,angry_cat,,,,202036,hyper_top,97,0,5,0,23
joy,angry_cat,,,,202037,hyper_top,97,0,7,0,0
joy,angry_cat,,,,202038,hyper_top,97,0,6,0,0
joy,angry_cat,,,,202039,hyper_top,97,0,2,0,0
joy,angry_cat,,,,202040,hyper_top,97,0,3,0,1
joy,angry_cat,,,,202041,hyper_top,97,0,4,0,7
joy,angry_cat,,,,202042,hyper_top,97,0,2,0,26
joy,angry_cat,,,,202043,hyper_top,97,0,6,0,17
joy,angry_cat,,,,202044,hyper_top,97,0,4,0,18
joy,angry_cat,,,,202045,hyper_top,97,0,3,0,14
joy,angry_cat,,,,202046,hyper_top,97,0,6,0,1
joy,angry_cat,,,,202047,hyper_top,97,0,5,0,19
joy,angry_cat,,,,202048,hyper_top,97,0,6,0,13
joy,angry_cat,,,,202049,hyper_top,97,0,17,0,21
joy,angry_cat,,,,202050,hyper_top,97,0,16,0,20
joy,angry_cat,,,,202051,hyper_top,98,0,21,0,26
joy,angry_cat,,,,202052,hyper_top,98,0,21,0,25
joy,angry_cat,,,,202053,hyper_top,98,0,16,0,3
joy,angry_cat,,,,202101,hyper_top,97,0,10,0,10
joy,angry_cat,,,,202102,hyper_top,97,0,7,0,13
joy,angry_cat,,,,202103,hyper_top,97,0,5,0,4
joy,angry_cat,,,,202104,hyper_top,97,0,5,0,3
joy,angry_cat,,,,202105,hyper_top,97,0,4,0,3
joy,angry_cat,,,,202106,hyper_top,97,0,2,0,2
joy,angry_cat,,,,202107,hyper_top,97,6,3,0,6
joy,angry_cat,,,,202108,hyper_top,97,0,2,0,0
joy,angry_cat,,,,202109,hyper_top,97,0,3,0,8
joy,angry_cat,,,,202110,hyper_top,97,0,2,0,9
joy,angry_cat,,,,202111,hyper_top,97,0,5,0,0
joy,angry_cat,,,,202112,hyper_top,97,0,4,0,23
joy,angry_cat,,,,202113,hyper_top,97,0,3,0,22
joy,angry_cat,,,,202114,hyper_top,97,0,3,0,0
joy,angry_cat,,,,202115,hyper_top,97,0,3,0,0
joy,angry_cat,,,,202116,hyper_top,97,0,2,0,0
joy,angry_cat,,,,202117,hyper_top,96,0,1,0,0
joy,angry_cat,,,,202118,hyper_top,97,0,2,0,14
joy,angry_cat,,,,202119,hyper_top,97,0,2,0,20
joy,angry_cat,,,,202120,hyper_top,97,0,5,0,6
joy,angry_cat,,,,202121,hyper_top,97,0,2,0,0
joy,angry_cat,,,,202122,hyper_top,97,0,7,0,0
joy,angry_cat,,,,202123,hyper_top,97,0,2,0,25
joy,angry_cat,,,,202124,hyper_top,97,0,3,0,25
joy,angry_cat,,,,202125,hyper_top,97,0,4,0,6
joy,angry_cat,,,,202126,hyper_top,97,0,2,0,5
joy,lully,,,,201827,hyper_top,98,1,8,0,23
joy,fast_duck,,,,201827,hyper_top,100,0,35,0,7
