FISCAL_YEAR,YEAR_MONTH,BRAND,BRAND_QUALITY_SIZE,SALES_CHANNEL,VOLUME_IN_L,NET_SALES,COGS
2019,-1,viable_line,,off_trade,9512657.7,48800700,16266644.667
2019,-1,viable_line,,on_trade,940812.3,4880070,1608789.033
2020,-1,viable_line,,off_trade,9351744.22,47421900,16178517.5006
2020,-1,viable_line,,on_trade,924897.78,4742190,1600073.1594
2019,-1,,,off_trade,2047604.79,48168890,28819638.5352
2019,-1,,,on_trade,611622.21,14388110,9100938.4848
2020,-1,,,off_trade,1705026.4,40508930,24721554.208
2020,-1,,,on_trade,509293.6,12100070,7806806.592
2019,-1,gold_plane,,off_trade,2339486.82,16347240,5287240.2132
2019,-1,gold_plane,,on_trade,1098849.87,7524920,2483400.7062
2020,-1,gold_plane,,off_trade,2166431.52,15368220,4809477.9744
2020,-1,gold_plane,,on_trade,1017566.32,7074260,2258997.2304
2019,-1,silver_coin,,off_trade,1548797.82,16543800,3248145.4496
2019,-1,silver_coin,,on_trade,116576.18,1454400,282447.4304
2020,-1,silver_coin,,off_trade,1561509.99,16056040,3089439.12
2020,-1,silver_coin,,on_trade,117533.01,1411520,268646.88
2019,-1,ideal_mouse,,off_trade,438159.54,3602060,806213.5536
2019,-1,ideal_mouse,,on_trade,112348.6,935600,206721.424
2020,-1,ideal_mouse,,off_trade,389449.32,2951410,782793.1332
2020,-1,ideal_mouse,,on_trade,99858.8,766600,200716.188
2019,-1,lully,,off_trade,5893164.48,21165520,6373489.0688
2019,-1,lully,,on_trade,443571.52,1840480,474621.5264
2020,-1,lully,,off_trade,5812031.28,20424920,6696959.9136
2020,-1,lully,,on_trade,437464.72,1776080,498709.7808
2019,-1,fast_duck,,off_trade,28419389.19,131967560,28456059.3696
2019,-1,fast_duck,,on_trade,2139093.81,8606580,2053530.0576
2020,-1,fast_duck,,off_trade,27527834.46,127091560,29573182.1602
2020,-1,fast_duck,,on_trade,2071987.54,8288580,2134147.1662
2019,-1,angry_cat,,off_trade,3514867.2,16984320,5426076.24
2019,-1,angry_cat,,on_trade,109839.6,707680,171349.776
2020,-1,angry_cat,,off_trade,3457601.28,16536000,5782477.974
2020,-1,angry_cat,,on_trade,108050.04,689000,182604.5676
