BRAND,YEAR_WEEK,BRAND_QUALITY,BRAND_QUALITY_ID,TOUCHPOINT,SPEND,GRP,IMPRESSIONS,CLICKS,REACH
heavy_feather,201842,,,laura,0,0,0,0,0
heavy_feather,201842,,,jack,0,0,0,0,0
heavy_feather,201842,,,mary,0,0,0,0,0
heavy_feather,201842,,,marc,0,0,0,0,0
heavy_feather,201842,,,fiona,0,0,0,0,0
heavy_feather,201843,,,lisa,0,0,0,0,0
heavy_feather,201843,,,alex,0,0,0,0,0
heavy_feather,201843,,,tom,0,0,0,0,0
heavy_feather,201843,,,laura,0,0,0,0,0
heavy_feather,201843,,,jack,0,0,0,0,0
heavy_feather,201843,,,mary,0,0,0,0,0
heavy_feather,201843,,,marc,0,0,0,0,0
heavy_feather,201843,,,fiona,0,0,0,0,0
heavy_feather,201844,,,lisa,0,0,0,0,0
heavy_feather,201844,,,alex,0,0,0,0,0
heavy_feather,201844,,,tom,0,0,0,0,0
heavy_feather,201844,,,laura,0,0,0,0,0
heavy_feather,201844,,,jack,0,0,0,0,0
heavy_feather,201844,,,mary,0,0,0,0,0
heavy_feather,201844,,,marc,0,0,0,0,0
heavy_feather,201844,,,fiona,0,0,0,0,0
heavy_feather,201845,,,lisa,0,0,0,0,0
heavy_feather,201845,,,alex,0,0,0,0,0
heavy_feather,201845,,,tom,0,0,0,0,0
heavy_feather,201845,,,laura,0,0,0,0,0
heavy_feather,201845,,,jack,5815.130623,0,714755,2079,0
heavy_feather,201845,,,mary,5062.977268,0,543105,416,0
heavy_feather,201845,,,marc,0,0,0,0,0
heavy_feather,201845,,,fiona,4800,2.7,0,0,0
heavy_feather,201846,,,lisa,0,0,0,0,0
heavy_feather,201846,,,alex,0,0,0,0,0
heavy_feather,201846,,,tom,0,0,0,0,0
heavy_feather,201846,,,laura,0,0,0,0,0
heavy_feather,201846,,,jack,6681.106786,0,701677,1965,0
heavy_feather,201846,,,mary,10047.11819,0,984735,1171,0
heavy_feather,201846,,,marc,0,0,0,0,0
heavy_feather,201846,,,fiona,99355,65.57,0,0,0
heavy_feather,201847,,,lisa,0,0,0,0,0
heavy_feather,201847,,,alex,0,0,0,0,0
heavy_feather,201847,,,tom,0,0,0,0,0
heavy_feather,201847,,,laura,0,0,0,0,0
heavy_feather,201847,,,jack,13908.65501,0,3918835,13111,0
heavy_feather,201847,,,mary,8776.905104,0,808543,1003,0
heavy_feather,201847,,,marc,0,0,0,0,0
heavy_feather,201847,,,fiona,66599,42.051168,0,0,0
heavy_feather,201848,,,lisa,0,0,0,0,0
heavy_feather,201848,,,alex,0,0,0,0,0
heavy_feather,201848,,,tom,0,0,0,0,0
heavy_feather,201848,,,laura,0,0,0,0,0
heavy_feather,201848,,,jack,11675.42027,0,1874126,4545,0
heavy_feather,201848,,,mary,2497.177059,0,257479,370,0
heavy_feather,201848,,,marc,0,0,0,0,0
heavy_feather,201848,,,fiona,95516,76.94218,0,0,0
heavy_feather,201849,,,lisa,0,0,0,0,0
heavy_feather,201849,,,alex,0,0,0,0,0
heavy_feather,201849,,,tom,0,0,0,0,0
heavy_feather,201849,,,laura,0,0,0,0,0
heavy_feather,201849,,,jack,13299.44574,0,1696085,4248,0
