,YEAR_WEEK,BRAND,alex,fiona,jack,laura,lisa,marc,mary,tom,is_last_week,is_january,is_february,is_march,is_april,is_may,is_june,is_july,is_august,is_september,is_october,is_november,is_december,TARGET_VOL_SO,PROMOTION_FEATURE,distribution,DISTRIBUTION_REF,YEAR,PRICE,AVERAGE_PRICE
22,201828,red_ballon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1576.5,0.02887611578735039,0.10526315789473684,38.0,2018,24.512591183000318,24.49527491212063
23,201828,silver_coin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,22411.9,0.07682968283583734,0.07777777777777778,90.0,2018,26.337490351108112,26.298994981372765
24,201828,viable_line,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,138331.0,0.06824559985936302,0.02040816326530612,98.0,2018,19.212642140951775,19.015696215177623
25,201828,visitor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,159996.3,0.07708110448459717,0.041666666666666664,96.0,2018,20.388935869141974,20.483165901258772
26,201829,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,57470.5,0.06208450645204868,0.1411764705882353,85.0,2018,6.735189358018462,6.654037187856543
27,201829,fast_duck,0.0,7500.0,0.07,4140.0,0.0,308955.07,0.0,2516.66,0,0,0,0,0,0,0,1,0,0,0,0,0,531095.3,0.07819056494838197,0.010101010101010102,99.0,2018,19.280486948387605,19.10838302316964
28,201829,gold_plane,0.0,27904.0,8454.56,10759.807692308,0.0,212458.0,6397.71,30153.307692308,0,0,0,0,0,0,0,1,0,0,0,0,0,44184.1,0.08963649290888681,0.043010752688172046,93.0,2018,22.142227633922612,22.687164809846607
29,201829,gracious_road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,13881.1,0.08825383740027348,0.06741573033707865,89.0,2018,40.56345678656591,40.26611060928006
30,201829,heavy_feather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,15028.1,0.1112984447184278,0.09302325581395349,86.0,2018,34.93407682940625,35.25365924774428
31,201829,ideal_mouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,12151.5,0.023018704224817516,0.21311475409836064,61.0,2018,15.62970826646916,15.659336474243835
32,201829,lully,0.0,0.0,11478.43,0.0,0.0,0.0,0.0,6763.41,0,0,0,0,0,0,0,1,0,0,0,0,0,124624.7,0.07645478883910477,0.020833333333333332,96.0,2018,18.09778077700488,18.083971900701833
33,201829,moistured_bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.54,0,0,0,0,0,0,0,1,0,0,0,0,0,31084.0,0.027741965250579967,0.10344827586206896,87.0,2018,24.65892742246815,24.608666114232967
34,201829,precious_liquid,0.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,24083.6,0.026008762664315264,0.16666666666666666,84.0,2018,36.523343686159876,35.590321970148764
35,201829,red_ballon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1695.8,0.039121588599001854,0.13157894736842105,38.0,2018,24.253980422219602,24.49527491212063
36,201829,silver_coin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,21233.7,0.07607705372390894,0.07777777777777778,90.0,2018,26.358962404102915,26.298994981372765
37,201829,viable_line,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,128598.9,0.06970725040430922,0.02040816326530612,98.0,2018,19.1825031162786,19.015696215177623
38,201829,visitor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,137022.6,0.06954525102136658,0.041666666666666664,96.0,2018,20.555416405760802,20.483165901258772
39,201830,angry_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,61853.0,0.07233394254682256,0.1411764705882353,85.0,2018,6.661587958546877,6.654037187856543
40,201830,fast_duck,0.0,0.0,0.01,9579.9,0.0,0.0,0.0,6478.36,0,0,0,0,0,0,0,1,0,0,0,0,0,607487.8,0.08315898861993204,0.010101010101010102,99.0,2018,19.176567825724234,19.10838302316964
41,201830,gold_plane,0.0,24413.0,5919.17,10759.807692308,0.0,0.0,8718.08,30153.307692308,0,0,0,0,0,0,0,1,0,0,0,0,0,48650.0,0.08243448623691661,0.043010752688172046,93.0,2018,22.317397738951694,22.687164809846607
42,201830,gracious_road,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,14011.9,0.08597628129885752,0.06741573033707865,89.0,2018,40.664784932807116,40.26611060928006
43,201830,heavy_feather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,15172.2,0.11062289880712334,0.09302325581395349,86.0,2018,34.96063194526832,35.25365924774428
44,201830,ideal_mouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,12681.8,0.020516444967385774,0.22950819672131148,61.0,2018,15.669739311454212,15.659336474243835
